Nr.;Vorname;Nachname;Geburtsdatum
2761;Zenta;Wachsmann;02.01.1909
2762;Liam;Mederer;27.06.1931
2763;Alois;Lierzer;14.03.1959
2764;Muhammed;Fichter;26.09.1975
2765;Karina;Detlefsen;01.05.1980
2766;Almtrud;Seide;08.12.1932
2767;Edelfried;Mette;18.06.1991
2768;Konrad;Baur;22.07.1984
2769;Wernhard;Stüven;07.01.1953
2770;Hermi;Liebold;14.08.2006
2771;Neithard;Arndt;20.06.2025
2772;Ambros;Clark;17.01.1942
2773;Dorothee;Heynen;17.01.2001
2774;Yasmin;Görres;19.02.1972
2775;Burgis;Schreiner;29.10.1907
2776;Gotelind;Kuhnt;23.05.2008
2777;Sönke;Steinert;10.11.1974
2778;Elfgund;Rockel;12.04.1955
2779;Caroline;Bailey;27.11.1970
2780;Cordula;Scheid;10.05.1937
2781;Witta;Grant;28.08.1938
2782;Til;Pförtner;05.02.2022
2783;Franziska;Hertrampf;21.01.2014
2784;Welfhard;Hoppen;22.01.1912
2785;Ortwin;Demel;27.09.1937
2786;Klothilde;Hüseyin;13.03.1981
2787;Zoe;Karbach;02.08.1920
2788;Ilse;Poerschke;03.07.1917
2789;Ali;Winterhart;31.03.2017
2790;Sidonie;Yildiz;05.06.1950
2791;Friedeborg;Schneemann;10.04.1971
2792;Wilja;Kaune;03.02.1951
2793;Arnt;Nerger;10.01.1950
2794;Ilseruth;Würtz;11.11.1926
2795;Volkart;Kluge;01.02.1976
2796;Anka;Frost;22.10.1927
2797;Lisbeth;Steinberg;05.01.1966
2798;Lerke;Holzmüller;23.03.1971
2799;Tiemo;Berwanger;05.09.1918
2800;Clotilde;Spiekermann;12.09.1916
2801;Elrike;Pflanz;18.11.1966
2802;Pankraz;Lütjens;20.03.1952
2803;Thielo;Böke;09.05.1912
2804;Giesela;Koops;28.02.2015
2805;Birk;Hennes;19.05.1941
2806;Joschua;Hirner;04.04.1911
2807;Rosi;Grube;19.06.1994
2808;Annedorle;Sänger;31.01.1962
2809;Wolfeckart;Baumstark;29.09.1994
2810;Sibilla;Herklotz;20.06.1997
2811;Sigtraud;Enke;14.06.1939
2812;Ilsegard;Biewald;03.11.1924
2813;Mattis;Hanft;20.06.1987
2814;Albertine;Simons;27.05.2017
2815;Jannine;Lay;02.12.1934
2816;Bernhart;Tasch;06.07.2013
2817;Thurid;Kipping;20.03.1991
2818;Thilde;Ruhland;12.03.1965
2819;Jolanthe;Joseph;03.10.1995
2820;Margitta;Stieglitz;26.06.2003
2821;Kriemhild;Recker;23.01.1991
2822;Ottfried;Kassel;16.03.2006
2823;Frohwald;Michalik;12.01.1979
2824;Tillmann;Mathias;03.05.1910
2825;Julie;Mock;03.08.2011
2826;Friedeborn;Pleines;05.11.1944
2827;Tino;Göritz;03.04.1968
2828;Karlfriedrich;Höll;31.08.2012
2829;Remigius;Kukla;27.05.2017
2830;Witmar;Allen;04.12.1946
2831;Innozenz;Sailer;12.11.1950
2832;Dorit;Schomburg;17.07.1989
2833;Celine;Bier;14.12.1931
2834;Marbod;Fels;07.09.1963
2835;Nina;Varga;22.12.1956
2836;Alheid;Pfitzner;03.03.2014
2837;Nicola;Güth;27.10.1913
2838;Effi;Hayn;26.05.1965
2839;Heinzkarl;Knauth;27.02.1943
2840;Winfrid;Roberson;14.07.1990
2841;Gordian;Schwan;29.06.1958
2842;Hariolf;Girard;21.02.1986
2843;Berthold;Langendorf;08.12.1935
2844;Annkathrin;Gronau;16.01.1938
2845;Magnus;Hellmann;23.02.2009
2846;Immanuel;Drexler;05.08.1915
2847;Gotlind;Kämmer;25.05.1955
2848;Gaby;Bartusch;06.12.2005
2849;Bertwin;Liebers;19.07.1979
2850;Alhard;Paul;20.11.1917
2851;Rosl;Koschinski;02.09.1945
2852;Reimund;Mittelbach;05.01.2015
2853;Gerlach;Hendel;29.03.1970
2854;Hansmartin;Grupp;20.11.1916
2855;Patrick;Wu;04.10.2018
2856;Zita;Wanke;02.10.1909
2857;Chris;Kaffenberger;01.08.1965
2858;Else;Mink;07.07.1977
2859;Thankmar;Maurus;10.06.1919
2860;Magdalena;Rohde;13.08.1980
2861;Runfried;Brunsch;05.02.1941
2862;Gotthardt;Maske;12.10.1938
2863;Joerg;Feyerabend;18.05.1949
2864;Bärbel;Vogg;28.05.1913
2865;Ulwin;Schönwald;31.01.1915
2866;Bettina;Fürst;16.01.1980
2867;Bernt;Lamberti;03.08.1961
2868;Eduard;Utech;12.12.1927
2869;Dorkas;Gäde;02.04.1955
2870;Burkhard;Weinzierl;04.02.1909
2871;Isabel;Leske;24.10.1936
2872;Elgine;Berwanger;31.03.1942
2873;Jil;Hohensee;11.10.1971
2874;Manja;Holzer;24.02.1942
2875;Abraham;Ens;27.12.1939
2876;Rudger;Matuschek;02.11.1974
2877;Ilsemarie;Kottmann;22.02.1927
2878;Frieda;Wodtke;29.04.1965
2879;Heimbert;Kanzler;24.05.1962
2880;Sebastian;Spohn;01.12.2004
2881;Gertmund;Yigit;18.09.1981
2882;Dennis;Stöber;18.04.1955
2883;Thore;Robert;16.12.1960
2884;Dahlia;Osman;24.05.1913
2885;Wolrad;Quaas;13.06.2005
2886;Jonah;Bärwald;24.02.1988
2887;Wiegbert;Hübenthal;30.09.2011
2888;Jean;Schulte;21.02.2018
2889;Idamarie;Schober;21.04.2021
2890;Melanie;Steffes;15.12.1978
2891;Bjarne;Grawe;04.02.1968
2892;Oslinde;Lausch;01.04.2021
2893;Loreliese;Schön;07.01.1907
2894;Cäcilia;Löhnert;12.03.1930
2895;Klaas;Flame;19.02.2022
2896;Gila;Gaßner;08.06.2002
2897;Hannelene;Hanemann;31.12.2014
2898;Collin;Lamberty;29.05.1989
2899;Ismene;Haak;28.11.2022
2900;Anke;Erler;24.10.1974
2901;Esther;Ehinger;19.05.2016
2902;Karlernst;Kehm;04.05.2001
2903;Urta;Bönig;10.05.1985
2904;Tillmann;Heining;24.09.1903
2905;Clemens;Naundorf;24.05.1951
2906;Humbert;Eschweiler;05.11.1925
2907;Rabea;Diem;13.10.1975
2908;Ruppert;Sandoval;21.10.1928
2909;Dinah;Eisenberg;10.07.2011
2910;Friedlies;Patt;05.12.1963
2911;Sighelm;Richarz;19.05.1998
2912;Aribert;Weingart;07.01.2017
2913;Wastl;Hüsing;07.04.1932
2914;Mika;Bührmann;08.02.1937
2915;Arnfred;Schönfeldt;12.08.1922
2916;Wolfmar;Schneider;18.11.2006
2917;Regelindis;Alles;28.01.1954
2918;Susann;Berendt;13.02.1977
2919;Isfried;Burggraf;22.01.1957
2920;Gotthard;Gramm;24.05.1973
2921;Anabel;Böhner;10.04.2007
2922;Gertwin;Kruska;15.08.1983
2923;Mira;Seiler;07.09.1959
2924;Annemirl;Malzahn;19.06.1984
2925;Friedeborg;Gertz;31.01.1947
2926;Yannis;Schirm;27.08.2007
2927;Marzel;Thiesen;22.12.1989
2928;Cordula;Dawson;12.08.2015
2929;Just;Haut;05.07.1912
2930;Gernulf;Plum;25.06.1917
2931;Aloysius;Söder;31.07.1914
2932;Annetrude;Erichsen;09.10.1981
2933;Isedore;Mischke;01.05.2016
2934;Nick;Puhlmann;15.07.1996
2935;Helmrich;Kuhlmann;28.04.1926
2936;Anneruth;Stadie;16.08.2013
2937;Sybilla;See;11.06.1959
2938;Annelore;Selinger;24.01.2013
2939;Torge;Zeeb;17.06.1973
2940;Sigenot;Vitt;20.03.1913
2941;Swenja;Hans;07.10.1979
2942;Karlfriedrich;Steinhagen;28.03.2023
2943;Herwarth;Reißmann;30.10.1971
2944;Notfried;Welch;09.05.1947
2945;Mathilde;Betten;11.11.1904
2946;Clemens;Martensen;04.05.1947
2947;Ortraud;Behnke;23.05.1910
2948;Antonie;Werner;24.06.1933
2949;Elsemarie;Rink;04.12.1991
2950;Arabella;Richert;13.03.1961
2951;Christhilde;Morlock;08.07.1982
2952;Berno;Tams;15.06.2001
2953;Helwig;Neff;30.12.2014
2954;Vera;Falkenberg;24.12.1992
2955;Fried;Deniz;24.12.1903
2956;Valentine;Worbs;05.11.2009
2957;Linus;Hennes;05.03.1919
2958;Helmbrecht;Knieling;03.12.1985
2959;Gerheide;Kerstan;23.07.2019
2960;Didi;Heiliger;04.02.2003
2961;Juliane;Kemmler;15.06.1910
2962;Arno;Fach;04.08.1908
2963;Chantale;Grahl;03.01.1980
2964;Emil;Herold;27.01.1970
2965;Giselbert;Köcher;13.03.1913
2966;Manja;Widmann;03.03.2004
2967;Emmeram;Hoheisel;22.01.1940
2968;Katja;Ockert;21.02.1936
2969;Claas;Wippermann;01.12.1942
2970;Medard;Siebert;07.05.1916
2971;Wolfeckart;Bultmann;23.10.1924
2972;Leandro;Wu;14.02.2003
2973;Mechthild;Eulitz;17.01.2011
2974;Rieke;Malsch;28.01.1953
2975;Heinzwerner;Winkels;08.01.1946
2976;Adolfine;Niehaus;12.04.1980
2977;Rahel;Osman;18.06.2001
2978;Ottobert;Haberl;23.09.1903
2979;Babette;Rentzsch;05.11.1905
2980;Smilla;Klabunde;31.10.2004
2981;Hariolf;Rössel;14.03.1949
2982;Tommy;Fauth;29.08.1911
2983;Rosie;Biel;05.11.1972
2984;Josef;Carpenter;05.07.1997
2985;Ellen;Fichtner;06.04.1902
2986;Kareen;Wentzel;22.04.1935
2987;Alwin;Hertweck;15.10.1923
2988;Nina;Ostermeier;23.04.2023
2989;Helgard;Lewerenz;23.11.1951
2990;Ingeborg;Nehls;04.10.2020
2991;Trautchen;Räder;18.05.1902
2992;Christopherus;Kozlowski;12.04.2000
2993;Lerke;Mössner;26.07.2001
2994;Adelgunde;Bergholz;04.12.1957
2995;Arnbert;Stierle;03.08.1931
2996;Bernt;Fehn;26.10.1970
2997;Evamarie;Gruß;23.02.1971
2998;Margunde;Jilg;07.11.1967
2999;Piet;Reeves;10.11.1991
3000;Noa;Pollok;25.09.1903
3001;Gotthold;Münzel;07.04.1928
3002;Karsta;Lingnau;02.02.1961
3003;Raphael;Zach;11.11.1950
3004;Eunike;Noetzel;20.04.2010
3005;Annabelle;Stewart;31.08.1957
3006;Donatus;Käfer;07.12.1958
3007;Gudrun;Floyd;13.08.2002
3008;Thiemo;Rios;19.12.1987
3009;Isgard;Heuer;11.07.1905
3010;Hartlieb;Schiller;20.06.1930
3011;Ayleen;Kutz;10.12.2007
3012;Luc;Eckerle;08.01.2002
3013;Regelinde;Marx;21.01.1980
3014;Thorsten;Chapman;30.09.2024
3015;Angelika;Schimmer;26.08.2003
3016;Mark;Speicher;04.10.1982
3017;Agilbert;Grandt;02.10.1962
3018;Bernward;Kühnen;04.08.1985
3019;Gunhild;Brünner;12.08.1913
3020;Herward;Flores;13.05.2000
3021;Godelind;Muth;09.06.1915
3022;Heimo;Pistorius;10.09.1961
3023;Erna;Dinger;20.04.1953
3024;Ermelinde;Rudnik;17.08.2011
3025;Maritta;Milewski;08.10.1975
3026;Dietbert;Kosch;20.12.2014
3027;Karsta;Moses;05.07.1965
3028;Horst;Orth;11.02.1984
3029;Resel;Horch;17.03.1947
3030;Chiara;Hager;27.11.1912
3031;Joschka;Ebbing;25.08.1948
3032;Eugenia;Seel;27.01.2012
3033;Jördis;Jakobs;18.05.1923
3034;Annabelle;Hassler;14.12.2002
3035;Christhilde;Wesche;24.06.1965
3036;Birgit;Torres;26.12.1958
3037;Siegward;Bahnsen;20.08.2012
3038;Fränze;Kiehn;31.12.1946
3039;Julian;Keuter;07.09.1986
3040;Notburg;Rohrmoser;13.08.2013
3041;Marilu;Liebl;05.11.1941
3042;Leonardo;Lindinger;29.07.1934
3043;Gesine;Lanfermann;15.02.1933
3044;Jakob;Göke;26.05.1945
3045;Volkhart;Zeiger;18.09.1928
3046;Pia;Eger;27.02.1908
3047;Fenja;Schmit;28.12.2017
3048;Ilsebärbel;Steinecke;30.05.1945
3049;Luna;Wicht;20.02.1945
3050;Anna;Kleinmann;05.11.1912
3051;Burgis;Achenbach;13.03.2017
3052;Theobert;Käfer;04.01.1974
3053;Annetraud;Keim;10.09.1992
3054;Lina;Hensen;20.12.1921
3055;Herald;Weisgerber;04.04.1950
3056;Loisl;Kirschner;29.05.1907
3057;Siegfrid;Frische;23.04.1989
3058;Lothar;Tost;15.03.2013
3059;Dieterich;Hagelstein;11.03.1996
3060;Jeannine;Glaß;13.06.1913
3061;Marvin;Ehmke;17.10.1919
3062;Florine;Künstler;14.12.2005
3063;Roseliese;Stein;14.08.2009
3064;Monica;Ehler;20.09.2002
3065;Gila;Schnittker;07.12.1990
3066;Sigbert;Meinen;28.04.2017
3067;Katja;Frietsch;01.01.1915
3068;Toralf;Sandig;11.03.2009
3069;Hasko;Krapf;28.12.1918
3070;Kaspar;Buth;11.01.1986
3071;Alinde;Hau;13.12.2015
3072;Delf;Richard;27.08.1986
3073;Anna;Eckhoff;24.05.1926
3074;Alf;Löwenstein;03.06.1904
3075;Reiner;Hüsken;03.07.1917
3076;Friedegund;Grupp;20.05.2021
3077;Marco;Traub;03.08.1958
3078;Marietraud;Boone;02.07.1984
3079;René;Finkbeiner;16.02.1940
3080;Aloisia;Ramsauer;27.11.1932
3081;Udo;Lücke;26.07.1965
3082;Heribert;Brust;11.01.1910
3083;Giulia;Bechtel;21.02.1933
3084;Karlotto;Engelbrecht;22.06.2009
3085;Philine;Kulik;08.05.1935
3086;Gerfried;Sinn;11.06.1955
3087;Otto;Gehlen;23.09.1995
3088;Theodor;Papke;07.07.2001
3089;Richardis;Kurt;14.01.1950
3090;Norbert;Damm;03.09.1945
3091;Sonja;Allison;04.10.1948
3092;Gerlinde;Kock;04.04.1904
3093;Herger;Deniz;13.04.1967
3094;Giulia;Schellhase;29.12.1940
3095;Anje;Hillebrand;18.04.1939
3096;Englbert;Hölscher;29.01.2016
3097;Bertwalda;Bill;07.10.1907
3098;Egidius;Paasch;14.10.2013
3099;Caspar;Stumm;20.09.2017
3100;Marfriede;Wandt;08.11.2016
3101;Lienhardt;Zehe;06.05.2004
3102;Hartwin;Mensing;30.10.2000
3103;Ralph;Oberle;16.11.2002
3104;Eleonore;Kraut;14.01.1924
3105;Botho;Heiser;30.03.1936
3106;Edelinde;Riehle;16.12.2004
3107;Emmely;Pollmann;30.10.1967
3108;Kuno;Ostermeier;26.02.1937
3109;Annabell;Welke;06.07.1937
3110;Reinlinde;Frost;16.01.1964
3111;Fred;Rios;13.05.1930
3112;Hanswalter;Kleinfeld;12.08.1957
3113;Gaby;Laumann;24.02.2007
3114;Tristan;Doose;03.02.1904
3115;Thoralf;Güldner;03.07.1928
3116;Hansdieter;Dürr;21.04.2024
3117;Lennard;Domnick;26.04.1945
3118;Sonnhilde;Tiedemann;21.05.1995
3119;Rosemaria;Hoff;15.12.1965
3120;Sigunde;Willig;03.07.1999
3121;Ria;Assenmacher;16.09.1971
3122;Jesse;Schopp;23.08.2002
3123;Heiderose;Heldt;26.06.1938
3124;Laurentius;Durst;01.05.1950
3125;Marlene;Hofmann;05.05.1990
3126;Jeanette;Allmendinger;26.08.1954
3127;Janfried;Wissing;13.11.1943
3128;Willibald;Göttmann;11.06.1938
3129;Reinar;Struß;18.03.1965
3130;Silke;Reifschneider;12.12.1904
3131;Barbi;Hesse;04.02.1955
3132;Runfried;Hartleb;19.03.1972
3133;Marielies;Pfleiderer;06.06.2015
3134;Oliver;Studt;25.02.1905
3135;Rauthgundis;Anselm;17.03.1975
3136;Kristine;Schoolmann;18.02.2010
3137;Sigtraud;Herting;18.04.1983
3138;Elsabe;Oliver;14.06.1961
3139;Marietheres;Arends;15.11.1983
3140;Waltraud;Radke;27.06.1990
3141;Odilo;Raithel;07.06.1978
3142;Marcus;Focken;28.10.1983
3143;Roland;Unland;10.06.1925
3144;Hildegard;Jentsch;23.12.2016
3145;Zenzi;Braune;06.06.1929
3146;Herko;Riechers;26.08.1946
3147;Horstmar;Oeser;12.04.1922
3148;Florenz;Werthmann;07.05.1971
3149;Siegrid;Helm;18.03.1929
3150;Elfgund;Gill;27.11.1964
3151;Mohammed;Biber;21.03.1989
3152;Melisande;Behle;16.10.2003
3153;Joana;Wischmann;21.06.1988
3154;Sieglind;Strübing;26.06.1941
3155;Arnd;Hofbauer;30.12.1978
3156;Lennox;Vossen;16.02.1988
3157;Urda;Danker;08.09.1929
3158;Edeltraud;Dießner;18.09.1904
3159;Friedolf;Schönfelder;27.10.1950
3160;Dimitri;Dorfner;06.09.1925
3161;Wunibald;Blumenstein;02.02.1991
3162;Ishilde;Metz;24.11.2007
3163;Melchior;Stoltenberg;10.06.2010
3164;Lucy;Bohrer;22.04.1983
3165;Karlotto;Krutsch;15.06.1902
3166;Annelie;Napp;24.01.1946
3167;German;Schachtner;19.05.1950
3168;Axel;Kroner;21.08.1927
3169;Giselind;Voit;01.06.1996
3170;Hertraud;Werle;09.12.1924
3171;Ehrengard;Kauf;23.01.1916
3172;Antonie;Pfingsten;02.01.2007
3173;Pauline;Thewes;21.03.1960
3174;Mathilda;Isenberg;19.11.2019
3175;Gregor;Glinka;16.06.1972
3176;Dorchen;Schöppner;19.02.1969
3177;Matilda;Nuding;03.04.1935
3178;Klaas;Hartlieb;04.11.2010
3179;Nicolaus;Martina;08.12.2020
3180;Corina;Nübel;21.03.1921
3181;Hansjochen;Kloster;25.08.1975
3182;Alwin;Provinzial;20.07.2000
3183;York;Bodenstein;10.11.2020
3184;Hellfried;Thömmes;15.08.1916
3185;Karlheiner;Dröge;13.05.1965
3186;Wolfgard;Heitzmann;05.10.1982
3187;Georg;Heyl;07.05.1970
3188;Artur;Prien;23.01.1940
3189;Keno;Creutz;05.06.1974
3190;Kornelius;Vester;20.08.1934
3191;Dorlies;Hanschke;31.01.1928
3192;Johann;Zeppenfeld;05.07.1913
3193;Erika;Alten;02.09.1968
3194;Verena;Porsch;07.10.1992
3195;Alix;Rest;29.04.2009
3196;Alwine;Bonn;07.12.1905
3197;Mila;Wohlgemuth;03.02.1949
3198;Desiree;Lienau;15.04.1988
3199;Merle;Weers;04.02.1979
3200;Schwanhild;Rast;27.08.1932
3201;Simpert;Berisha;03.10.1919
3202;Lyn;Höpfner;20.07.1985
3203;Gottfriede;Schnorr;21.05.1996
3204;Hellgard;Brandt;23.12.1923
3205;Holk;Gerth;26.03.1979
3206;Edeltraudt;Ay;12.09.1965
3207;Mattis;Steiner;22.08.1981
3208;Willma;Hilbert;15.05.2001
3209;Arne;Bury;12.01.1944
3210;Nils;Baas;27.11.1965
3211;Wolrad;Felten;05.10.1939
3212;Evalinde;Ilg;12.10.1972
3213;Lienhardt;Worm;08.04.1965
3214;Leonardo;Bender;21.09.1996
3215;Hertraud;Ehle;12.05.1983
3216;Volrad;Börsch;03.10.1986
3217;Dorena;Kegel;09.12.1978
3218;Siegfrid;Strehl;20.06.1907
3219;Sigwart;Reitberger;30.11.1955
3220;Wunibald;Peitz;08.09.1990
3221;Sybilla;Klees;06.02.2018
3222;Baldur;Illgen;23.05.1973
3223;Alrun;Niebler;24.10.1936
3224;Malte;Kretschmann;05.11.2023
3225;Helmuth;Prescher;20.10.1945
3226;Günter;Kleinwächter;17.08.1931
3227;Ulrich;Fenner;26.01.1957
3228;Marietraud;Fischer;01.07.1921
3229;Ian;Krebs;17.03.1906
3230;Theodeline;Martina;12.11.1988
3231;Romanus;Proske;07.10.2007
3232;Denis;Huth;17.04.2018
3233;Nico;Städtler;16.01.1998
3234;Regelindis;Krüger;28.10.2006
3235;Ilsabe;Foth;30.04.1923
3236;Immanuel;Wiederhold;15.12.1914
3237;Elfrun;Sigg;04.11.1923
3238;Hendrik;Beckers;08.04.1995
3239;Heinfried;Stemmler;25.11.1950
3240;Wiegbert;Heise;31.05.1969
3241;Dana;Munzert;02.09.1903
3242;Gertraut;Crone;04.04.1903
3243;Freddy;Fredrich;03.11.1926
3244;Emil;Maaßen;26.06.1940
3245;Helgrid;Jünemann;13.05.1905
3246;Wittmar;Streck;26.03.2021
3247;Evelore;Trier;30.03.1982
3248;Herold;Thesing;25.01.2022
3249;Ingmar;Mendel;18.01.1977
3250;Harro;Meinzer;13.09.1907
3251;Camilla;Wiederhold;15.11.1961
3252;Wiebke;Lübbe;08.10.2007
3253;Kordelia;Scheil;09.08.2005
3254;Lienard;Langanke;17.02.1927
3255;Can;Simons;27.07.1925
3256;Arnd;Schuricht;16.06.1907
3257;Jolanthe;Mäurer;09.01.2005
3258;Almtrud;Ferner;20.06.2002
3259;Gertrude;Kloster;20.01.1935
3260;Marbod;Riebel;19.01.1920
3261;Janin;Saunders;28.11.1904
3262;Bernfried;Oschmann;19.03.1990
3263;Anett;Klotz;21.03.1912
3264;Phil;Larisch;15.08.1922
3265;Katrin;Pade;04.05.1906
3266;Marina;Belke;19.06.2024
3267;Lucie;Tilch;07.10.2003
3268;Gerdhild;Hubbard;17.12.1945
3269;Bodmar;Steinebach;21.03.1927
3270;Gert;Krauter;27.03.1925
3271;Wolfgünter;Ruppenthal;04.08.2005
3272;Viola;Kaup;06.04.1950
3273;Botho;Höhn;29.10.1909
3274;Luc;Kossack;16.09.1930
3275;Helga;Röhr;15.08.1940
3276;Luis;Moers;23.12.1938
3277;Otti;Homann;12.07.2008
3278;Hermi;Terlinden;21.11.1995
3279;Laurentius;Stange;16.05.1973
3280;Dario;Schad;04.11.1922
3281;Roselies;Raue;09.06.1984
3282;Joelle;Lücking;23.09.1949
3283;Nathalie;Theuerkauf;08.11.1910
3284;Klaus;Weier;29.10.1957
3285;Birgitta;Kresse;06.08.1938
3286;Margaretha;Lorbeer;25.07.2018
3287;Bernulf;Summer;14.01.1930
3288;Susette;Jovanovic;15.11.1985
3289;Flora;Meinen;01.05.1998
3290;Klarissa;Kuch;22.09.1950
3291;Gundhild;Kind;10.07.1952
3292;Bianka;Steinle;06.10.1955
3293;Erdmann;Hummel;03.02.1936
3294;Rainer;Wehle;28.05.1972
3295;Florentin;Küspert;25.11.2006
3296;Jördis;Schlag;07.12.1968
3297;Egbert;Hils;28.03.2001
3298;Brunhilda;Glawe;28.05.1970
3299;Franz;Raabe;07.09.1904
3300;Roselius;Lübbert;22.01.1972
3301;Albertine;Buhmann;24.08.1930
3302;Knut;Nimz;03.08.1950
3303;Smilla;Fenn;05.02.2010
3304;Klotilde;Elbers;21.09.1984
3305;Folker;Liesenfeld;03.11.1932
3306;Hansjörg;Rath;06.12.1972
3307;Wulfhardt;Sittig;21.09.1983
3308;Folkhard;Stüben;27.01.1907
3309;Erkhild;Seeber;20.08.1960
3310;Lennart;Schnepel;29.02.1976
3311;Rilana;Spahr;23.09.1927
3312;Sepp;Schwägerl;01.11.1923
3313;Sieghart;Ockert;22.11.1949
3314;Ingelore;Hustedt;04.12.1928
3315;Myriam;Fredrich;20.04.1981
3316;Friedegund;Pastor;16.11.1948
3317;Lena;Fast;28.12.2006
3318;Irmintraud;Treu;10.06.2014
3319;Janette;Carstensen;28.07.1961
3320;Philip;Derichs;27.12.1993
3321;Babsi;Feuerer;12.04.2004
3322;Hansotto;Gimpel;01.02.2012
3323;Steff;Pankratz;16.04.1903
3324;Waltraud;Göttert;06.12.1984
3325;Winrich;Dostal;22.11.2018
3326;Alwin;Berry;16.12.1905
3327;Sigolf;Strauss;30.10.1980
3328;Yvonne;Alder;17.07.1909
3329;Tino;Sutton;26.04.1999
3330;Gisa;Vollrath;08.10.1964
3331;Almtrud;Kloss;22.11.2024
3332;Degenhart;Gasch;29.11.1932
3333;Wolfhard;Rohrbach;19.10.1977
3334;Rena;Austen;03.11.1919
3335;Justus;Garrett;16.08.2014
3336;Hasko;Bührer;25.11.1945
3337;Arnd;Hann;09.08.1923
3338;Katy;Thul;22.04.1979
3339;Giselbert;Thon;06.01.1938
3340;Emmy;Duffner;21.06.2020
3341;Alwine;Schepp;16.01.1943
3342;Riana;Loose;27.12.1969
3343;Marli;Glanz;29.08.1966
3344;Gritt;Schöller;16.07.1929
3345;Einhard;Bernauer;07.02.1938
3346;Arist;Himmelreich;31.08.1946
3347;Adi;Schoof;30.08.1910
3348;Petra;Spatz;02.04.1920
3349;Burgfried;Schäper;01.06.2007
3350;Amadeus;Leicher;24.03.1954
3351;Carlo;Allmann;03.04.1908
3352;Trautlinde;Wiechers;17.08.1945
3353;Stefani;Killinger;05.11.1941
3354;Wedigo;Grüninger;03.06.1988
3355;Joelina;Stelter;16.04.1964
3356;Ingedore;Garbers;05.11.1992
3357;Hansfriedrich;Geldmacher;31.01.1970
3358;Amelie;Janz;19.12.1994
3359;Richarda;Niesen;12.10.1954
3360;Marold;Kehr;07.02.1932
3361;Kerstin;Riehm;14.06.1924
3362;Alina;Prieß;21.03.1973
3363;Jamie;Engelking;05.04.2013
3364;Kurt;Imhoff;28.02.1917
3365;Ria;Ströhlein;17.11.1937
3366;Detlev;Irion;04.04.1982
3367;Ingo;Friese;03.01.1955
3368;Margit;Schütt;14.03.2003
3369;Hiltraut;Platen;12.04.2011
3370;Bartho;Scholze;24.02.1998
3371;Elenore;Frehse;22.12.1995
3372;Annik;Syring;09.01.1912
3373;Karlotta;Gaab;15.02.1977
3374;Reinulf;Bell;23.01.1960
3375;Carolin;Hambach;17.11.1936
3376;Undine;Heyn;15.01.2013
3377;Hildegard;Pelster;31.03.1928
3378;Anneke;Frank;07.04.1951
3379;Aaron;Merl;01.03.1952
3380;Gunfried;Mann;17.06.1935
3381;Oliver;Liehr;02.03.1915
3382;Hildegund;Klabunde;08.02.1964
3383;Otthart;Moos;21.11.2023
3384;Sturmhard;Schlindwein;19.07.1954
3385;Wolfmar;Waack;22.04.1972
3386;Kurd;Logemann;12.07.2016
3387;Kilian;Lutzenberger;04.03.1947
3388;Jupp;Hillert;10.03.2016
3389;Eginald;Hustedt;27.07.1989
3390;Gerritdina;Liske;29.03.1976
3391;Innozenz;Ramm;14.04.2020
3392;Adolph;Queck;23.07.2001
3393;Susanne;Linhart;15.07.1935
3394;Grit;Thies;28.03.1979
3395;Ditmar;Siegrist;16.06.1990
3396;Sigwart;Wehr;09.12.1916
3397;Markwart;Märker;30.01.1938
3398;Wernher;Felgenhauer;22.08.1975
3399;Magda;Schuh;15.03.1960
3400;Ellengard;Cicek;27.07.1954
3401;Leonard;Kunzelmann;27.09.1960
3402;Ludger;Epp;22.02.2009
3403;Wladislaus;Watzke;16.05.2025
3404;Anita;Schönberg;07.03.1907
3405;Bert;Kerkmann;31.01.2004
3406;Trudbert;Klute;01.04.1969
3407;Ignaz;Malek;02.11.1902
3408;Ottwin;Erickson;11.05.1934
3409;Jens;Kötter;20.03.2020
3410;Gieselind;Wick;27.07.1971
3411;Ilka;Grigat;06.07.1982
3412;Arno;Kupka;19.08.1977
3413;Marietheres;Rauscher;05.11.2024
3414;Rolf;Kummer;16.09.2002
3415;Marilu;Brockmeier;05.02.2002
3416;Irminfried;Braumann;14.12.1979
3417;Irmentraud;Herzer;14.11.1961
3418;Arntraud;Mertens;04.03.1978
3419;Borwin;Dieter;03.06.2006
3420;Steven;Puls;30.10.1914
3421;Lasse;Behncke;28.01.1904
3422;Alheid;Rex;13.04.1928
3423;Utto;Bartsch;27.02.1948
3424;Hannmeike;Cebulla;20.04.1914
3425;Sigtrud;Vesper;04.11.2016
3426;Frank;Prang;30.07.1905
3427;Griseldis;Wittig;17.11.1998
3428;Adalbert;Beringer;02.11.2010
3429;Dorothee;Schnurr;10.11.1926
3430;Hieronimus;Puppe;24.04.1993
3431;Henry;Wiechert;25.10.1972
3432;Zenzi;Hörner;13.12.1915
3433;Denise;Rieken;10.11.1952
3434;Günter;Roß;31.01.1976
3435;Karleugen;Unruh;26.04.1913
3436;Fridoline;Plock;31.08.2016
3437;Klara;Dengler;12.04.1978
3438;Gisbert;Krol;20.08.1958
3439;Damian;Hassan;14.01.1916
3440;Margareth;Conrad;09.11.2017
3441;Jaqueline;Janning;29.09.1993
3442;Rembert;Böcker;15.11.2012
